1768	1	2	25	4	17	21	21	11	3	3	3	4	46	41	3	1.47	8.86	24.4	72.5	2230	-999
1769	2	2	25	4	17	22	21	11	3	3	3	4	52	47	3	1.36	9.06	23.8	80	2810	-999
1772	2	2	25	1	12	18	28	11	3	3	3	4	26	23	3	1.35	7.69	20	70	2110	-999
1773	1	2	25	1	12	17	28	11	3	3	3	4	20	17	3	1.38	8.19	24	71	2320	-999
1774	1	2	25	1	12	23	28	11	3	3	3	4	58	53	3	1.32	7.31	17	55.5	-999	1820
1775	1	2	25	1	12	17	28	11	3	3	3	4	20	17	3	1.43	5.34	19.6	61	1690	-999
1776	1	2	25	1	12	17	28	11	3	3	3	4	20	17	3	1.47	7.9	21.6	67	1950	-999
1777	1	2	25	4	17	23	21	11	3	3	3	4	58	53	3	0.66	4.64	14	51	-999	2070
1778	1	2	25	1	12	23	28	11	3	3	3	4	58	53	3	1.17	6.69	18.4	54	-999	1700
1779	2	2	25	1	12	18	28	11	3	3	3	4	26	23	3	1.37	8.58	20	56	1770	-999
1780	1	2	25	1	12	17	28	11	3	3	3	4	20	17	3	1.17	6.53	20	70	2020	-999
1781	2	2	25	8	20	20	22	12	3	3	3	4	39	35	3	1.21	5.17	21	69	-999	1830
1782	2	2	25	8	20	24	22	12	3	3	3	4	64	59	3	0.92	6.04	18	56	-999	1560
1783	1	2	25	8	20	19	22	12	3	3	3	4	32	29	3	1.18	6.24	23	78.5	-999	2200
1784	1	2	25	8	20	21	22	12	3	3	3	4	46	41	3	0.75	6.78	21.2	57.5	2190	-999
1785	1	2	25	8	20	19	22	12	3	3	3	4	32	29	3	1.09	6.17	22	80	-999	2560
1786	1	2	25	8	20	19	22	12	3	3	3	4	32	29	3	1.02	6.34	24	77.5	-999	2420
1787	1	2	25	8	20	19	22	12	3	3	3	4	32	29	3	1.36	6.95	20	64.5	-999	2370
1788	1	2	25	8	20	19	22	12	3	3	3	4	32	29	3	1.23	7.6	26	78.5	-999	2650
1789	2	2	25	8	20	20	22	12	3	3	3	4	39	35	3	1.4	8.95	25	66	-999	2430
1790	2	2	25	8	20	20	22	12	3	3	3	4	39	35	3	1.52	7.53	25	72	-999	1870
1791	1	2	25	8	20	19	22	12	3	3	3	4	32	29	3	1.32	8.95	26	80	-999	2510
1793	1	2	25	2	14	21	23	13	3	3	3	4	46	41	3	1.63	8.53	20.6	68	2340	-999
1794	2	2	25	2	14	24	23	13	3	3	3	4	64	59	3	1.29	6.39	19	65	-999	2090
1795	1	2	25	2	14	21	23	13	3	3	3	4	46	41	3	1.51	7.6	19.4	58	1770	-999
1796	2	2	25	2	14	22	23	13	3	3	3	4	52	47	3	1.38	7.78	21.8	71.5	2220	-999
1797	1	2	25	2	14	23	23	13	3	3	3	4	58	53	3	1.54	7.75	18.8	56.5	-999	1980
1798	1	2	25	2	14	23	23	13	3	3	3	4	58	53	3	1.3	6.51	17.8	62	-999	2280
1799	1	2	25	2	14	23	23	13	3	3	3	4	58	53	3	0.99	5.48	15.6	64.5	-999	2180
1800	2	2	25	2	14	24	23	13	3	3	3	4	64	59	3	1.61	8.19	20.2	74	-999	2620
1801	2	2	25	1	12	24	25	13	3	3	3	4	64	59	3	1.04	7.1	17	60	-999	1990
1802	2	2	25	1	12	18	25	13	3	3	3	4	26	23	3	1.25	7.77	21	69	2300	-999
1803	1	2	25	1	12	17	25	13	3	3	3	4	20	17	3	1.36	7.71	21	74	2500	-999
